symbol,date,marketCap
AME,1/3/20,23111424280
AME,1/2/20,23079369600
AME,12/31/19,22836669880
AME,12/30/19,22839701010
AME,12/27/19,22844272150
AME,12/26/19,22871698990
AME,1/4/21,27278895300
AME,12/31/20,27868808900
AME,12/30/20,27558263740
AME,12/29/20,27289189480
AME,12/28/20,27542165280
AME,1/4/22,33817059290
AME,1/3/22,33256875269
AME,12/31/21,34036966240
AME,12/30/21,33891400360
AME,12/29/21,34108905080
AME,12/28/21,33865947680
AME,12/27/21,33627618040
AME,1/4/23,32413247100
AME,1/3/23,32337305520
AME,12/30/22,32291806960
AME,12/29/22,32442033660
AME,12/28/22,31977486480
AME,12/27/22,32386565340